second,scheduled_qps,sent,ok,dropped,timeouts,avg_latency_ms,p50_latency_ms,p99_latency_ms,throughput_rps,replicas,cpu_cores
350,32,32,32,0,0,186.89,146.07,462.18,32,8.0,8.0000
351,31,31,31,0,0,183.65,122.14,450.54,31,8.0,8.0000
352,36,36,36,0,0,208.56,159.66,540.62,36,8.0,8.0000
353,34,34,34,0,0,214.42,156.46,512.41,34,8.0,8.0000
354,30,30,30,0,0,180.83,134.11,468.34,30,8.0,8.0000
355,32,32,32,0,0,185.63,139.64,481.77,32,8.0,8.0000
356,32,32,32,0,0,193.08,131.68,501.83,32,8.0,8.0000
357,32,32,32,0,0,188.72,115.01,448.43,32,8.0,8.0000
358,30,30,30,0,0,172.86,125.49,451.09,30,8.0,8.0000
359,35,35,35,0,0,191.03,133.92,510.62,35,8.0,8.0000
360,34,34,34,0,0,211.60,155.98,492.10,34,8.0,8.0000
361,31,31,31,0,0,187.78,126.68,492.88,31,8.0,8.0000
362,30,30,30,0,0,189.75,146.56,453.98,30,8.0,8.0000
363,33,33,33,0,0,198.38,129.80,724.88,33,8.0,8.0000
364,37,37,37,0,0,229.26,185.55,519.47,37,8.0,8.0000
365,30,30,30,0,0,181.40,119.33,423.89,30,8.0,8.0000
366,30,30,30,0,0,184.46,118.45,474.66,30,8.0,8.0000
367,34,34,34,0,0,193.16,113.32,471.22,34,8.0,8.0000
368,31,31,31,0,0,182.74,117.02,492.56,31,8.0,8.0000
369,34,34,34,0,0,205.68,136.20,539.76,34,8.0,8.0000
370,33,33,33,0,0,196.98,145.87,477.93,33,8.0,8.0000
371,34,34,34,0,0,203.90,130.68,501.50,34,8.0,8.0000
372,32,32,32,0,0,190.48,130.68,745.37,32,8.0,8.0000
373,33,33,33,0,0,204.29,130.86,505.69,33,8.0,8.0000
374,36,36,36,0,0,219.28,159.26,590.82,36,8.0,8.0000
375,33,33,33,0,0,200.92,137.60,502.53,33,8.0,8.0000
376,29,29,29,0,0,185.55,145.07,458.20,29,8.0,8.0000
377,32,32,32,0,0,188.58,160.00,499.69,32,8.0,8.0000
378,33,33,33,0,0,195.76,138.75,511.51,33,8.0,8.0000
379,34,34,34,0,0,206.84,144.46,485.88,34,8.0,8.0000
380,37,37,37,0,0,229.00,162.06,525.56,37,8.0,8.0000
381,34,34,34,0,0,200.60,134.02,490.63,34,8.0,8.0000
382,37,37,37,0,0,223.81,167.76,553.35,37,8.0,8.0000
383,31,31,31,0,0,217.08,158.65,481.97,31,8.0,8.0000
384,33,33,33,0,0,198.06,132.66,469.70,33,8.0,8.0000
385,32,32,32,0,0,184.80,130.26,457.60,32,8.0,8.0000
386,37,37,37,0,0,221.55,199.05,568.16,37,8.0,8.0000
387,33,33,33,0,0,190.29,129.94,454.77,33,8.0,8.0000
388,33,33,33,0,0,186.79,130.71,659.47,33,8.0,8.0000
389,36,36,36,0,0,225.38,177.47,519.52,36,8.0,8.0000
390,38,38,38,0,0,228.12,176.54,709.53,38,8.0,8.0000
391,36,36,36,0,0,218.38,168.17,524.89,36,8.0,8.0000
392,32,32,32,0,0,189.17,120.09,494.91,32,8.0,8.0000
393,34,34,34,0,0,199.39,159.25,498.16,34,8.0,8.0000
394,34,34,34,0,0,206.74,177.39,511.49,34,8.0,8.0000
395,32,32,32,0,0,192.84,125.23,465.96,32,8.0,8.0000
396,35,35,35,0,0,213.57,177.21,501.25,35,8.0,8.0000
397,35,35,35,0,0,205.46,137.83,475.51,35,8.0,8.0000
398,39,39,39,0,0,255.73,210.51,526.71,39,8.0,8.0000
399,32,32,32,0,0,173.01,111.84,434.53,32,8.0,8.0000
400,35,35,35,0,0,199.71,134.51,478.01,35,8.0,8.0000
401,39,39,39,0,0,237.86,208.44,557.96,39,8.0,8.0000
402,31,31,31,0,0,204.11,114.11,514.55,31,8.0,8.0000
403,36,36,36,0,0,227.23,177.75,524.23,36,8.0,8.0000
404,38,38,38,0,0,265.84,223.29,586.93,38,8.0,8.0000
405,37,37,37,0,0,235.46,169.99,579.00,37,8.0,8.0000
406,34,34,34,0,0,230.75,163.60,542.20,34,8.0,8.0000
407,36,36,36,0,0,212.26,167.85,487.49,36,8.0,8.0000
408,37,37,37,0,0,212.06,155.52,518.88,37,8.0,8.0000
409,33,33,33,0,0,178.64,123.29,442.34,33,8.0,8.0000
410,35,35,35,0,0,202.07,138.12,459.63,35,8.0,8.0000
