second,scheduled_qps,sent,ok,dropped,timeouts,avg_latency_ms,p50_latency_ms,p99_latency_ms,throughput_rps,replicas,cpu_cores
557,9,9,9,0,0,1881.82,1909.49,3368.18,9,1.0,1.0000
558,5,5,5,0,0,1222.80,1200.73,1968.82,5,1.0,1.0000
559,8,8,8,0,0,1770.46,1998.24,3204.52,8,1.0,1.0000
560,8,8,8,0,0,1641.71,1800.06,3191.95,8,1.0,1.0000
561,7,7,7,0,0,1561.06,1688.92,2548.94,7,1.0,1.0000
562,8,8,8,0,0,1750.29,1874.83,3175.34,8,1.0,1.0000
563,8,8,8,0,0,1584.45,1774.29,3103.36,8,1.0,1.0000
564,9,9,9,0,0,2010.46,2060.91,3417.61,9,1.0,1.0000
565,8,8,8,0,0,1823.33,2045.90,3279.09,8,1.0,1.0000
566,9,9,9,0,0,2084.88,2129.67,3705.35,9,1.0,1.0000
567,8,8,8,0,0,1736.31,1852.35,3108.16,8,1.0,1.0000
568,9,9,9,0,0,2111.55,2209.79,3685.36,9,1.0,1.0000
569,9,9,9,0,0,1995.38,1928.93,3583.39,9,1.0,1.0000
570,8,8,8,0,0,1648.64,1791.02,3178.26,8,1.0,1.0000
571,8,8,8,0,0,1543.94,1778.21,2730.50,8,1.0,1.0000
572,8,8,8,0,0,1531.84,1676.35,2803.50,8,1.0,1.0000
573,8,8,8,0,0,1949.32,2160.08,3403.42,8,1.0,1.0000
574,8,8,8,0,0,1642.00,1785.96,2914.94,8,1.0,1.0000
575,9,9,9,0,0,2145.94,2131.04,3891.46,9,1.0,1.0000
576,7,7,7,0,0,1746.85,1836.62,2806.69,7,1.0,1.0000
577,8,8,8,0,0,1964.04,2195.35,3414.85,8,1.0,1.0000
578,9,9,9,0,0,2187.60,2225.78,3755.03,9,1.0,1.0000
579,7,7,7,0,0,1369.07,1378.56,2427.76,7,1.0,1.0000
580,7,7,7,0,0,1303.44,1283.02,2455.54,7,1.0,1.0000
581,6,6,6,0,0,1251.69,1373.85,2133.31,6,1.0,1.0000
582,6,6,6,0,0,1192.14,1365.37,2031.36,6,1.0,1.0000
583,8,8,8,0,0,1578.53,1710.82,2928.44,8,1.0,1.0000
584,10,10,10,0,0,2013.81,2172.71,3740.41,10,1.0,1.0000
585,8,8,8,0,0,1895.96,2085.95,3438.77,8,1.0,1.0000
586,8,8,8,0,0,1807.86,2075.89,3369.39,8,1.0,1.0000
587,7,7,7,0,0,1429.28,1357.23,2457.27,7,1.0,1.0000
588,7,7,7,0,0,1735.30,1746.45,2998.05,7,1.0,1.0000
589,7,7,7,0,0,1540.41,1569.51,2447.17,7,1.0,1.0000
590,10,10,10,0,0,2142.89,2274.09,4057.43,10,1.0,1.0000
591,5,5,5,0,0,1059.24,1104.90,1769.46,5,1.0,1.0000
592,8,8,8,0,0,1394.36,1504.71,2521.13,8,1.0,1.0000
593,6,6,6,0,0,1267.01,1393.86,2058.95,6,1.0,1.0000
594,6,6,6,0,0,1484.17,1657.11,2526.31,6,1.0,1.0000
595,8,8,8,0,0,1579.62,1761.54,2826.51,8,1.0,1.0000
596,7,7,7,0,0,1493.33,1450.86,2517.27,7,1.0,1.0000
597,7,7,7,0,0,1776.21,1645.22,3020.88,7,1.0,1.0000
598,8,8,8,0,0,1679.13,1777.75,2905.09,8,1.0,1.0000
599,8,8,8,0,0,1641.94,1772.71,3098.83,8,1.0,1.0000
600,9,9,9,0,0,1878.78,1801.15,3462.16,9,1.0,1.0000
601,9,9,9,0,0,1750.53,1659.49,3413.98,9,1.0,1.0000
602,7,7,7,0,0,1739.12,1658.00,3116.05,7,1.0,1.0000
603,7,7,7,0,0,1202.99,1157.24,2206.77,7,1.0,1.0000
604,8,8,8,0,0,1560.99,1671.59,2999.24,8,1.0,1.0000
605,9,9,9,0,0,2154.92,2135.66,3785.25,9,1.0,1.0000
606,9,9,9,0,0,1679.40,1660.84,3388.59,9,1.0,1.0000
607,8,8,8,0,0,1828.89,2005.38,3309.65,8,1.0,1.0000
608,10,10,10,0,0,1969.86,2108.32,3807.66,10,1.0,1.0000
609,8,8,8,0,0,2063.47,2279.48,3700.12,8,1.0,1.0000
610,8,8,8,0,0,1763.18,1877.94,3100.02,8,1.0,1.0000
611,5,5,5,0,0,1185.34,1177.90,1946.19,5,1.0,1.0000
612,10,10,10,0,0,2534.31,2806.18,4606.53,10,1.0,1.0000
613,7,7,7,0,0,1398.41,1345.61,2515.09,7,1.0,1.0000
614,9,9,9,0,0,2006.57,2033.48,3592.58,9,1.0,1.0000
615,9,9,9,0,0,1873.34,1900.61,3355.50,9,1.0,1.0000
616,7,7,7,0,0,1424.23,1454.53,2551.61,7,1.0,1.0000
617,10,10,10,0,0,2267.59,2489.62,4173.23,10,1.0,1.0000
618,7,7,7,0,0,1466.74,1422.11,2624.89,7,1.0,1.0000
619,6,6,6,0,0,1548.20,1772.90,2541.78,6,1.0,1.0000
620,8,8,8,0,0,1896.11,2076.32,3274.93,8,1.0,1.0000
621,11,11,11,0,0,2294.72,2248.92,4595.86,11,1.0,1.0000
622,8,8,8,0,0,1584.08,1770.33,2664.42,8,1.0,1.0000
623,7,7,7,0,0,1309.97,1253.95,2355.25,7,1.0,1.0000
624,8,8,8,0,0,1817.94,2077.78,3067.85,8,1.0,1.0000
625,9,9,9,0,0,1779.71,1766.74,3292.36,9,1.0,1.0000
626,6,6,6,0,0,1322.53,1473.63,2350.55,6,1.0,1.0000
627,7,7,7,0,0,1545.58,1474.66,2638.24,7,1.0,1.0000
628,7,7,7,0,0,1450.06,1427.15,2623.20,7,1.0,1.0000
629,8,8,8,0,0,1819.11,1957.47,3270.90,8,1.0,1.0000
